Epoch Time (s),Vehicle State
1473876841.719308,5
1473876842.717426,5
1473876843.717463,5
1473876844.717456,5
1473876845.717402,5
1473876846.717546,5
1473876847.718006,5
1473876848.717544,5
1473876849.717463,5
1473876850.717453,5
1473876851.717420,5
1473876852.719549,5
1473876853.717431,5
1473876854.717435,5
1473876855.717451,5
1473876856.717467,5
1473876857.717451,5
1473876858.717569,5
1473876859.717433,5
1473876860.717441,5
1473876861.717424,5
1473876862.717435,5
1473876863.717461,5
1473876864.717442,5
1473876865.717458,5
1473876866.717436,5
1473876867.717491,5
1473876868.717425,5
1473876869.718230,5
1473876870.717453,5
1473876871.717796,5
1473876872.717448,5
1473876873.717452,5
1473876874.717450,5
1473876875.717426,5
1473876876.717472,5
1473876877.718602,5
1473876878.718765,5
1473876879.717471,5
1473876880.719077,5
1473876881.720566,5
1473876882.719841,5
1473876883.719644,5
1473876884.718030,5
1473876885.717471,5
1473876886.717428,5
1473876887.717463,5
1473876888.717464,5
1473876889.717448,5
1473876890.717493,5
1473876891.717464,5
1473876892.717471,5
1473876893.717490,5
1473876894.717429,5
1473876895.717443,5
1473876896.717436,5
1473876897.717460,5
1473876898.717973,5
1473876899.718580,5
1473876900.717534,5
1473876901.717474,5
1473876902.717439,5
1473876903.717475,5
1473876904.717426,5
1473876905.717441,5
1473876906.717437,5
1473876907.717438,5
1473876908.717415,5
1473876909.717440,5
1473876910.717419,5
1473876911.717445,5
1473876912.717467,5
1473876913.718315,5
1473876914.717486,5
1473876915.717444,5
1473876916.717435,5
1473876917.717440,5
1473876918.717473,5
1473876919.717458,5
1473876920.717453,5
1473876921.717475,5
1473876922.717422,5
1473876923.717411,5
1473876924.717419,5
1473876925.718200,5
1473876926.717405,5
1473876927.717736,5
1473876928.718560,5
1473876929.718464,5
1473876930.719889,5
1473876931.719064,5
1473876932.719721,5
1473876933.719422,5
1473876934.717434,5
1473876935.718424,5
1473876936.717435,5
1473876937.717455,5
1473876938.717552,5
1473876939.717622,5
1473876940.717451,5
1473876941.717549,5
1473876942.717444,5
1473876943.717444,5
1473876944.717540,5
1473876945.717449,5
1473876946.717484,5
1473876947.717449,5
1473876948.717439,5
1473876949.720944,5
1473876950.717478,5
1473876951.717425,5
1473876952.717488,5
1473876953.717436,5
1473876954.717442,5
1473876955.717451,5
1473876956.717526,5
1473876957.718823,5
1473876958.718821,5
1473876959.717460,5
1473876960.717465,5
1473876961.717435,5
1473876962.717472,5
1473876963.717444,5
1473876964.717487,5
1473876965.717472,5
1473876966.717444,5
1473876967.717487,5
1473876968.718753,5
1473876969.717421,5
1473876970.717489,5
1473876971.717464,5
1473876972.717451,5
1473876973.717455,5
1473876974.717437,5
1473876975.717463,5
1473876976.717468,5
1473876977.717459,5
1473876978.717571,5
1473876979.717480,5
1473876980.717434,5
1473876981.717445,5
1473876982.718323,5
1473876983.719872,5
1473876984.718486,5
1473876985.717422,5
1473876986.717426,5
1473876987.717451,5
1473876988.717594,5
1473876989.717441,5
1473876990.717441,5
1473876991.717439,5
1473876992.717483,5
1473876993.717483,5
1473876994.717462,5
1473876995.717711,5
1473876996.717417,5
1473876997.717452,5
1473876998.718475,5
1473876999.717438,5
1473877000.717419,5
1473877001.717438,5
1473877002.717532,5
1473877003.717464,5
1473877004.717457,5
1473877005.717454,5
1473877006.717488,5
1473877007.719935,5
1473877008.717456,5
1473877009.717481,5
1473877010.717437,5
1473877011.717452,5
1473877012.717456,5
1473877013.717441,5
1473877014.718582,5
1473877015.717444,5
1473877016.717455,5
1473877017.717726,5
1473877018.717436,5
1473877019.717429,5
1473877020.717432,5
1473877021.717436,5
1473877022.717451,5
1473877023.717449,5
1473877024.717486,5
1473877025.717425,5
1473877026.717525,5
1473877027.717420,5
1473877028.717664,5
1473877029.717527,5
1473877030.721784,5
1473877031.719785,5
1473877032.720899,5
1473877033.717451,5
1473877034.717455,5
1473877035.717448,5
1473877036.717445,5
1473877037.717454,5
1473877038.717441,5
1473877039.717443,5
1473877040.717442,5
1473877041.717431,5
1473877042.718611,5
1473877043.717835,5
1473877044.717420,5
1473877045.718220,5
1473877046.717539,5
1473877047.717456,5
1473877048.717451,5
1473877049.717493,5
1473877050.717433,5
1473877051.717459,5
1473877052.717436,5
1473877053.717456,5
1473877054.717480,5
1473877055.717427,5
1473877056.717619,5
1473877057.717417,5
1473877058.717777,5
1473877059.717420,5
1473877060.717474,5
1473877061.718176,5
1473877062.717434,5
1473877063.717458,5
1473877064.717476,5
1473877065.717473,5
1473877066.717424,5
1473877067.717443,5
1473877068.717837,5
1473877069.717464,5
1473877070.719490,5
1473877071.717645,5
1473877072.717426,5
1473877073.717462,5
1473877074.718426,5
1473877075.718075,5
1473877076.717463,5
1473877077.717454,5
1473877078.717432,5
1473877079.717416,5
1473877080.720979,5
1473877081.719846,5
1473877082.721758,5
1473877083.720531,5
1473877084.717453,5
1473877085.717436,5
1473877086.717427,5
1473877087.717466,5
1473877088.717418,5
1473877089.717406,5
1473877090.717421,5
1473877091.717456,5
1473877092.717517,5
1473877093.717477,5
1473877094.717450,5
1473877095.719190,5
1473877096.717462,5
1473877097.717430,5
1473877098.717470,5
1473877099.717433,5
1473877100.717416,5
1473877101.717441,5
1473877102.717428,5
1473877103.718244,5
1473877104.717468,5
1473877105.717455,5
1473877106.717421,5
1473877107.717712,5
1473877108.717560,5
1473877109.717439,5
1473877110.717410,5
1473877111.717494,5
1473877112.717421,5
1473877113.717455,5
1473877114.717470,5
1473877115.717429,5
1473877116.717455,5
1473877117.717474,5
1473877118.717434,5
1473877119.717456,5
1473877120.717432,5
1473877121.717419,5
1473877122.717456,5
1473877123.717447,5
1473877124.717967,5
1473877125.717424,5
1473877126.717420,5
1473877127.717433,5
1473877128.717433,5
1473877129.720195,5
1473877130.719235,5
1473877131.720016,5
1473877132.719048,5
1473877133.717438,5
1473877134.717460,5
1473877135.717452,5
1473877136.717463,5
1473877137.717464,5
1473877138.717470,5
1473877139.717435,5
1473877140.717944,5
1473877141.717446,5
1473877142.717437,5
1473877143.717424,5
1473877144.717536,5
1473877145.717435,5
1473877146.717465,5
1473877147.717443,5
1473877148.717455,5
1473877149.717441,5
1473877150.717463,5
1473877151.717920,5
1473877152.718526,5
1473877153.717552,5
1473877154.717448,5
1473877155.717459,5
1473877156.717533,5
1473877157.718274,5
1473877158.718029,5
1473877159.717464,5
1473877160.717447,5
1473877161.717440,5
1473877162.717447,5
1473877163.717606,5
1473877164.717438,5
1473877165.717822,5
1473877166.717446,5
1473877167.717456,5
1473877168.717451,5
1473877169.717443,5
1473877170.717475,5
1473877171.717456,5
1473877172.717747,5
1473877173.717449,5
1473877174.717422,5
1473877175.717460,5
1473877176.718464,5
1473877177.719096,5
1473877178.717419,5
1473877179.717442,5
1473877180.717421,5
1473877181.717404,5
1473877182.719847,5
1473877183.717785,5
1473877184.718859,5
1473877185.719191,5
1473877186.717455,5
1473877187.717452,5
1473877188.717420,5
1473877189.717426,5
1473877190.720009,5
1473877191.717411,5
1473877192.717461,5
1473877193.717451,5
1473877194.717414,5
1473877195.717433,5
1473877196.717428,5
1473877197.718473,5
1473877198.718830,5
1473877199.717439,5
1473877200.717436,5
1473877201.717440,5
1473877202.717443,5
1473877203.717541,5
1473877204.717412,5
1473877205.717450,5
1473877206.717444,5
1473877207.718102,5
1473877208.717418,5
1473877209.717447,5
1473877210.717711,5
